well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean
157772886,4023,4,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",155874967,92,52,65,-0.8313826801018851,25.6503992285966,56.06842960230699,15697,4021.0,CTX,superior frontal gyrus
157772950,4031,4,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",155853027,144,75,62,-50.0370456817299,25.879616547511,33.153978712322804,15697,4028.0,CTX,middle frontal gyrus
157772934,4030,4,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",155853026,116,53,65,-25.116501840556804,24.4815639614484,53.85783294289021,15697,4028.0,CTX,middle frontal gyrus
157772852,4023,3,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",155781929,96,56,47,-3.7528210894382297,43.476612691701895,50.869819358557216,15697,4021.0,CTX,superior frontal gyrus
157772980,4224,3,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",155807874,95,115,49,-2.58734941633383,38.1035506571095,-7.80613212187521,15697,4221.0,CTX,"cingulate gyrus, frontal part"
157772932,4048,3,CX,GRe,"gyrus rectus, left",155807925,99,133,49,-7.01500336570705,37.5792926151881,-23.541546792504395,15697,4047.0,CTX,gyrus rectus
157773028,4045,3,CX,orIFG,"inferior frontal gyrus, orbital part, left",155779802,140,118,47,-49.525824511925705,39.3736837969342,-10.0734154823617,15697,4035.0,CTX,inferior frontal gyrus
157773012,4039,3,CX,trIFG,"inferior frontal gyrus, triangular part, left",155779801,145,102,47,-52.3176881520173,39.2077068987454,5.84754512250089,15697,4035.0,CTX,inferior frontal gyrus
160092011,4288,8,CX,Pu,"putamen, left",147066327,122,112,107,-30.3209686797142,-20.4860633753055,-0.8568464177817829,15697,4287.0,STR,putamen
160091995,4281,8,CX,TCd,"tail of caudate nucleus, left",158747208,126,123,107,-34.6489606030271,-19.5160496412804,-12.6775727353415,15697,12901.0,STR,tail of the caudate nucleus
160091947,4256,8,CX,CA3,"CA3 field, left",147066199,121,126,107,-30.255077245229103,-18.984452033975,-15.6781960860007,15697,12894.0,HIPP,CA3 field
160091899,4251,8,CX,S,"subiculum, left",147066197,113,132,107,-22.7795963112972,-18.4584568579774,-21.0836447080314,15697,12896.0,HIPP,subiculum
160091550,4644,6,CX,ARH,"arcuate nucleus of the hypothalamus, left",158729674,99,122,85,-9.8041335249682,3.22467376246063,-12.5095504495727,15697,4633.0,HYPO,tuberal region
160091534,4641,6,CX,DMH,"dorsomedial hypothalamic nucleus, left",158405194,96,114,85,-5.28468821569683,4.32544951169378,-5.25823228650919,15697,4633.0,HYPO,tuberal region
160091660,4308,6,CX,nbM,"basal nucleus of meynert, left",158405284,111,123,86,-21.169422547691,1.31060398620859,-14.904905969605,15697,,,
160091628,4593,6,CX,SO,"supraoptic nucleus, left",158405192,105,123,86,-16.1264125238825,1.84996324443385,-14.1965970244726,15697,12907.0,HYPO,supraoptic nucleus
160091580,10145,6,CX,OlfT,"olfactory tubercle, left",158438882,113,122,86,-22.6717204946174,1.06683474090675,-13.955849295281,15697,,,
160091564,4542,6,CX,PrOR,"preoptic region, left",158728506,98,110,86,-7.368018192997612,3.15308505303159,-1.26407131642898,15697,4541.0,HYPO,preoptic region
160091532,4313,6,CX,BST,"bed  nucleus of stria terminalis, left",158729675,98,100,86,-6.80852630109951,3.03223453673965,9.65741395370802,15697,,,
160091516,4310,6,CX,DBv,"nucleus of the diagonal band, left, horizontal division",158405536,104,116,86,-13.988276498813,2.3191368224613,-7.53941746540537,15697,,,
160091484,4291,6,CX,Acb,"nucleus accumbens, left",158403258,106,116,86,-15.8648889841551,1.9788534312844897,-7.63030277794994,15697,4290.0,STR,nucleus accumbens
160091630,4342,6,CX,BLA,"basolateral nucleus, left",147013810,109,136,86,-22.6177781817126,-0.5154340946801921,-26.5421698660258,15697,4341.0,AMYG,basolateral nucleus
