Dk_label,Lamp5,Pax6,Vip,Sncg,Lamp5 Lhx6,L5 ET,L5/6 NP,L6 CT,L6b,Astro,VLMC,Endo,Micro/PVM,Oligo,OPC,L2/3 IT,L6 IT Car3,L4 IT,L6 IT,L5 IT,Chandelier,Pvalb,Sst,Sst Chodl
L_postcentral,0.027742407440734595,0.018952340268989138,0.0692927863092133,0.00625824069090909,0.016734558163636365,0.04797271464197554,0.021491404884228044,0.04061505386721134,0.027483965860986257,0.023817215911173247,0.0046999295272727275,0.010219584581818182,0.01882169010909091,0.0036110589272727277,0.059659624543075565,0.0979748016978287,0.013422102200000001,0.26708653247652414,0.039193568467373534,0.07639164308471358,0.015285375386585998,0.07191379559654211,0.016482259039250106,0.004877346425454546
L_posteriorcingulate,0.02541275703283506,0.04183806216890619,0.08215452783996532,0.038337677207103564,0.021016593324103938,0.09465171289499164,0.03690495838897675,0.06964513188335601,0.040619605741960496,0.08130742140045691,0.0034963181562499995,0.005062233250000001,0.0088477679375,0.02684000702869197,0.03162600927181217,0.084377661044289,0.017803355149082285,0.03923363756238393,0.05953655949606852,0.10246803241684559,0.042433627836773624,0.01658673666722829,0.021322905146564524,0.008476701
L_precentral,0.028026703770759647,0.0294348369219894,0.11027403716833024,0.006096837402777778,0.01648421218448004,0.16969174835201933,0.01758110653874327,0.06757946697993045,0.020783030940817515,0.02776238510180458,0.003376373745833333,0.01723197091666667,0.012309945841666666,0.004174155111111111,0.055468830820012735,0.058708353041619796,0.019442794953684554,0.08401699433397959,0.12503604890978923,0.047746816674852484,0.022860493162307625,0.03725894918166419,0.010560245430555556,0.008093662611111113
L_precuneus,0.03175536827124501,0.020317454122069166,0.06450838501890532,0.006448142369565217,0.015289812173913045,0.06211939340299898,0.03668594421056761,0.04175850171104949,0.03111734573148147,0.0348054984839054,0.009934503999999999,0.009350463369565217,0.002771462630434782,0.007938777630434782,0.06974765361750919,0.1751003057073489,0.008929416566189396,0.16586260844291253,0.06341702898019565,0.08389727167824346,0.02124659344555649,0.02161533780576026,0.01154260415217391,0.0038401265000000003
L_rostralanteriorcingulate,0.012241581999999999,0.010599142000000002,0.03913199640373612,0.08028864953763297,0.012389298142857144,0.013190623571428571,0.06895278253463996,0.10373078636954838,0.06153982208759541,0.1877004159157357,0.00021724771428571426,0.0007023287142857142,0.022546540714285714,0.041059554,0.007325806142857143,0.02582740281560067,0.053454411041577124,0.0,0.08785409487016545,0.050209323228440884,0.015306275285714285,0.007245081714285714,0.08569899244078145,0.012787842714285713
L_rostralmiddlefrontal,0.020028257943267846,0.04680858670194569,0.08006917803556671,0.03542524192771222,0.016634986176464042,0.024967845398676802,0.02309358059703762,0.01511665716902926,0.05224884642789029,0.058380331719065204,0.005699529465306123,0.005737847102040816,0.010030583163265305,0.013323980755102039,0.0822468629226863,0.20295695723519885,0.0069713608979591855,0.05315059918138673,0.050256279633779176,0.10811534266186018,0.018175986706844786,0.03913424285644297,0.02628632180313046,0.005140593448979592
L_superiorfrontal,0.02601967391747352,0.04050319236658024,0.06995762344460123,0.02914086908378464,0.017481198717999896,0.10681926083965426,0.02986350067155882,0.04871019524442623,0.047878231993362795,0.04698458348540411,0.002632035739560439,0.007708279659340659,0.011794068252747253,0.016091461802197803,0.06147591157577421,0.10961196020004782,0.014957030741754068,0.024243499115931093,0.11349688600683834,0.09687308718436369,0.02584915284320041,0.026540002925503185,0.017578991681318688,0.007789302603296703
L_superiorparietal,0.030636775044653786,0.024794592426162113,0.056297911207024355,0.00753120811111111,0.017924441407407406,0.06027830013333424,0.03202758189992924,0.03256939184839082,0.014950004366381909,0.03912971727196796,0.006484813592592591,0.010773763722222225,0.01928553317448715,0.007310586648148147,0.05415143318032942,0.19436996320165606,0.005116800904728786,0.17182312152753962,0.05646371484133331,0.07403898015427729,0.015980877537037037,0.05426004465458972,0.01183260688888889,0.001967836277777778
L_superiortemporal,0.022146867365793865,0.025963064900702024,0.03594045346835295,0.035569360824617986,0.02608360356665406,0.018056908720856375,0.03954048048779687,0.018720143741699773,0.04109639261378094,0.04416658376748408,0.006738062976190477,0.004852191607142857,0.019165739863734148,0.029863621360236032,0.0492285407337403,0.1713541263527799,0.02057326484509449,0.09593421722143661,0.07944246948743404,0.11861058008285953,0.03560690166777968,0.022138170115938285,0.03449318414848727,0.004715070070238096
L_supramarginal,0.022307582548387092,0.02289381058759445,0.09531930176780808,0.015272847300613703,0.010220561870967742,0.042218332637824846,0.03412993038457323,0.01960386644104126,0.035956769210861605,0.02947406524836762,0.00802606893548387,0.006005730064516128,0.025952028637805682,0.010898187096774193,0.04745867419678636,0.19770775424861367,0.011345721016885909,0.05997983278848811,0.06653274562126084,0.16688209376604732,0.01710064496553656,0.033976163960680934,0.0166427624516129,0.004094524322580645
