well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
4699,4026,8,CX,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",991117,88,60,53,5.103305845,29.57047392,27.23870806,10021,4021,CTX,superior frontal gyrus,4.5,37,36,2741,0.573261
4667,4027,8,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",990441,77,48,53,18.07967744,24.46278077,45.995573894750606,10021,4021,CTX,superior frontal gyrus,15.5,37,48,29761,-1.07198
4681,4024,6,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",984859,115,56,37,-21.76119397,45.02401359,31.89903887158249,10021,4021,CTX,superior frontal gyrus,-22.5,53,40,27847,0.221054
4658,4051,6,CX,MOrG,"medial orbital gyrus, left",983527,103,105,43,-9.328197663,37.1509696,-27.64222521,10021,4050,CTX,medial orbital gyrus,-10.5,47,-9,20985,0.225863
4619,4902,6,CX,IRoG,"inferior rostral gyrus, right",983536,89,98,41,4.452455012,35.71910372,-17.05485546,10021,4900,CTX,inferior rostral gyrus,3.5,49,-2,21331,-0.127149
4626,4046,6,CX,orIFG,"inferior frontal gyrus, orbital part, right",983520,51,92,40,51.37094506285551,38.6994698,-9.110365396,10021,4035,CTX,inferior frontal gyrus,41.5,50,4,11637,-0.222553
4651,4060,6,CX,LOrG,"lateral orbital gyrus, left",984943,115,98,43,-24.55062079,38.81222536,-19.01984541,10021,4059,CTX,lateral orbital gyrus,-22.5,47,-2,20330,1.357657
4665,4223,6,CX,CgGf-s,"cingulate gyrus, frontal part, left, superior bank of gyrus",982050,100,75,39,-4.895579748,45.85478661056281,6.682576594,10021,4221,CTX,"cingulate gyrus, frontal part",-7.5,51,21,28705,-1.109763
4673,4226,6,CX,CgGf-s,"cingulate gyrus, frontal part, right, superior bank of gyrus",982035,87,67,39,5.4768032727975084,43.04471943,15.46279282,10021,4221,CTX,"cingulate gyrus, frontal part",5.5,51,29,28779,0.728484
4633,4027,6,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",981937,73,57,39,21.23770615,42.42822186,32.809687,10021,4021,CTX,superior frontal gyrus,19.5,51,39,27851,-0.186578
4594,4031,4,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",977482,128,77,32,-35.86411718,48.77113185,5.958148415,10021,4028,CTX,middle frontal gyrus,-35.5,58,19,11737,0.897077
4565,4274,10,CX,SIG,"short insular gyri, right",978419,62,81,69,36.70047446,9.269347199,8.060785722,10021,4272,CTX,short insular gyri,30.5,21,15,10814,1.030312
4549,4284,10,CX,HCd,"head of caudate nucleus, right",978418,81,77,69,15.15609209,8.236195069,10.95081141,10021,12900,STR,head of the caudate nucleus,11.5,21,19,0,
4516,4033,10,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",978328,65,44,65,33.95442634,12.95584636,51.02981273,10021,4028,CTX,middle frontal gyrus,27.5,25,52,30377,-0.280414
4603,4034,10,CX,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",978308,50,62,66,47.973479015470886,13.20565609,33.2518305,10021,4028,CTX,middle frontal gyrus,42.5,24,34,18953,-1.764586
4579,4026,4,CX,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",977536,82,78,29,10.70355203,56.58352318,3.644258876,10021,4021,CTX,superior frontal gyrus,10.5,61,18,28452,0.632356
4539,4049,4,CX,GRe,"gyrus rectus, right",977533,85,102,28,4.6552366617348895,53.93724705,-23.33437892,10021,4047,CTX,gyrus rectus,7.5,62,-6,20977,1.978604
4537,4027,2,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",980073,77,71,16,16.66121565,63.84162806462361,11.758354282655402,10021,4021,CTX,superior frontal gyrus,15.5,74,25,28302,1.521564
4563,4051,4,CX,MOrG,"medial orbital gyrus, left",981586,111,95,29,-18.06425115,55.369178397127705,-16.56624164,10021,4050,CTX,medial orbital gyrus,-18.5,61,1,20741,0.840537
4571,4052,4,CX,MOrG,"medial orbital gyrus, right",977532,83,102,28,6.039535518,54.17030922,-23.37155548,10021,4050,CTX,medial orbital gyrus,9.5,62,-6,20977,0.19314
4587,4898,4,CX,SRoG,"superior rostral gyrus, left",977531,100,88,25,-5.240755551,57.72823589,-7.102684709,10021,4897,CTX,superior rostral gyrus,-7.5,65,8,28013,0.844619
4595,4899,4,CX,SRoG,"superior rostral gyrus, right",977535,83,84,29,7.115412636093769,56.79451536,-4.088587497,10021,4897,CTX,superior rostral gyrus,9.5,61,12,28172,1.443116
4547,4901,4,CX,IRoG,"inferior rostral gyrus, left",977530,99,91,25,-3.565173285,57.076815262147896,-10.77688683,10021,4900,CTX,inferior rostral gyrus,-6.5,65,5,21132,1.122657
4523,4034,4,CX,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",977494,58,76,28,38.5810232,53.17220275,6.344094903,10021,4028,CTX,middle frontal gyrus,34.5,62,20,20106,1.56574
4531,4046,4,CX,orIFG,"inferior frontal gyrus, orbital part, right",977493,64,93,28,34.98999546,53.50820049,-15.81475127,10021,4035,CTX,inferior frontal gyrus,28.5,62,3,20315,0.717878
4515,4061,4,CX,LOrG,"lateral orbital gyrus, right",977492,71,93,27,27.31731359,55.62292118,-17.0580117,10021,4059,CTX,lateral orbital gyrus,21.5,63,3,20540,0.547899
4578,4023,4,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",977475,102,80,25,-8.046584287,58.75180112,2.618556386,10021,4021,CTX,superior frontal gyrus,-9.5,65,16,28358,0.797787
4569,4024,2,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",980066,112,72,17,-19.38255388,61.87926086,10.9432533,10021,4021,CTX,superior frontal gyrus,-19.5,73,24,28435,2.778454
4553,4023,2,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",977023,98,81,16,-5.13133374,61.12650614,0.029993314,10021,4021,CTX,superior frontal gyrus,-5.5,74,15,28259,2.084496
4529,4033,2,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",980074,74,72,16,19.92519695,63.95203701,10.45459247,10021,4028,CTX,middle frontal gyrus,18.5,74,24,28153,3.202947
4521,4034,2,CX,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",980072,75,87,15,18.951445,63.98898542487571,-7.45592047,10021,4028,CTX,middle frontal gyrus,17.5,75,9,27894,3.013338
4513,4894,2,CX,FP-s,"frontal pole, right, superior aspect",980071,74,90,15,20.05577802,63.62412950952261,-10.88110507,10021,4888,CTX,frontal pole,18.5,75,6,20840,2.155135
4545,4894,2,CX,FP-s,"frontal pole, right, superior aspect",983153,71,90,15,23.70791173,63.42805735,-10.91996976,10021,4888,CTX,frontal pole,21.5,75,6,20769,3.533715
4518,4280,9,CX,HCd,"head of caudate nucleus, left",976995,105,86,59,-11.88255753,16.35833579,-3.857453006,10021,12900,STR,head of the caudate nucleus,-12.5,31,10,0,
4526,4288,9,CX,Pu,"putamen, left",976993,113,89,58,-20.94701767,17.13470802,-6.165697685,10021,4287,STR,putamen,-20.5,32,7,0,
4540,4023,10,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",982936,101,56,63,-8.98039798,15.602526424262305,38.94483867,10021,4021,CTX,superior frontal gyrus,-8.5,27,40,2501,-0.443747
4548,4026,10,CX,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",982939,92,48,62,3.144698838,16.354923335258402,48.35188565,10021,4021,CTX,superior frontal gyrus,0.5,28,48,2334,0.874662
4605,4289,9,CX,Pu,"putamen, right",991070,76,89,58,20.535307341429103,17.51583325,-6.786498146,10021,4287,STR,putamen,16.5,32,7,0,
4630,4146,12,CX,MTG-i,"middle temporal gyrus, right, inferior bank of gyrus",992976,49,113,83,53.95389619,-7.943702283,-28.33069945,10021,4140,CTX,middle temporal gyrus,43.5,7,-17,21459,0.301995
4638,4153,12,CX,ITG-its,"inferior temporal gyrus, right, bank of the its",992968,57,121,84,45.438473974530105,-10.5173978,-38.31787126,10021,4147,CTX,inferior temporal gyrus,35.5,6,-25,22296,-0.299387
4654,4155,12,CX,ITG-mts,"inferior temporal gyrus, right, bank of mts",992970,50,116,83,52.25835964,-8.539089172,-31.64018291,10021,4147,CTX,inferior temporal gyrus,42.5,7,-20,21939,-0.569458
4701,4145,12,CX,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",992925,46,107,83,56.25482546,-7.36125326,-20.5680986,10021,4140,CTX,middle temporal gyrus,46.5,7,-11,32095,-0.314291
4677,4030,12,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",992845,116,35,79,-26.05399484,-4.110463271,63.374996465830094,10021,4028,CTX,middle frontal gyrus,-23.5,11,61,30720,-0.855861
4676,4058,8,CX,POrG,"posterior orbital gyrus, right",993198,75,104,54,23.54089908,21.21127915,-23.07665909,10021,4056,CTX,posterior orbital gyrus,17.5,36,-8,20474,-0.398089
4660,4042,8,CX,opIFG,"inferior frontal gyrus, opercular part, left",993105,144,64,59,-54.29102409,18.12330555,27.27311139,10021,4035,CTX,inferior frontal gyrus,-51.5,31,32,30519,1.771576
8912,9543,93,BS,Cu,"cuneate nucleus, left",1114117,101,133,117,-7.673773704,-44.89018205,-50.17704217,10021,,,,-8.5,-27,-37,0,
8903,9561,93,BS,IO,"inferior olivary complex, left",1113642,100,134,109,-6.931473583,-37.37632295,-51.08623838,10021,,,,-7.5,-19,-38,0,
8911,9565,93,BS,IO,"inferior olivary complex, right",1113625,90,134,109,5.106549906,-35.95522345,-51.91217975,10021,,,,2.5,-19,-38,0,
8919,9598,93,BS,GiRt,"gigantocellular group, left",1113022,97,133,114,-3.118487645,-41.79501119,-50.2460581,10021,,,,-4.5,-24,-37,0,
8927,9604,93,BS,GiRt,"gigantocellular group, right",1113023,93,134,113,1.6149959974845702,-40.47870752,-51.20142919,10021,,,,-0.5,-23,-38,0,
8848,9677,93,BS,Sp5,"spinal trigeminal nucleus, left",1116415,101,133,114,-7.783593895,-42.02559207,-49.84383337,10021,,,,-8.5,-24,-37,0,
8856,9684,93,BS,Sp5,"spinal trigeminal nucleus, right",1116414,87,134,113,8.691586385157809,-40.23974892,-51.19752196,10021,,,,5.5,-23,-38,0,
8864,9698,93,BS,8Ve,"vestibular nuclei, left",1113123,98,133,117,-4.047225726,-44.72174155,-50.42641018,10021,,,,-5.5,-27,-37,0,
8872,9703,93,BS,8Ve,"vestibular nuclei, right",1113124,89,133,116,6.673071104,-43.35284303,-50.02816479,10021,,,,3.5,-26,-37,0,
8880,9521,93,BS,Arc,"arcuate nucleus of medulla, right",1112856,92,135,106,2.194251721,-33.26944084,-53.19447897,10021,,,,0.5,-16,-39,0,
5113,4270,12,CX,LIG,"long insular gyri, left",994824,126,79,91,-36.56547713,-18.31503819,13.46809021,10021,4269,CTX,long insular gyri,-33.5,-1,17,10373,-0.14825
